Cell;Passage;bTau;bGal;DoublingTime
DF2;22;0,3568;40,6;51,96153846
DF2;22;0,366;40,6;51,96153846
DF2;22;0,3576;40,6;51,96153846
DF2;22;0,3558;40,6;51,96153846
DF2;22;0,3929;40,6;51,96153846
DF2;22;0,4707;40,6;51,96153846
DF2;22;0,3593;40,6;51,96153846
DF2;22;0,4365;40,6;51,96153846
DF2;22;0,3892;40,6;51,96153846
DF2;22;0,3572;40,6;51,96153846
DF2;22;0,5175;40,6;51,96153846
DF2;22;0,459;40,6;51,96153846
DF2;22;0,4183;40,6;51,96153846
DF2;22;0,3525;40,6;51,96153846
DF2;22;0,4204;40,6;51,96153846
DF2;22;0,354;40,6;51,96153846
DF2;22;0,4051;40,6;51,96153846
DF2;23;0,3419;42,71111111;53,09230769
DF2;23;0,3842;42,71111111;53,09230769
DF2;23;0,3552;42,71111111;53,09230769
DF2;23;0,3127;42,71111111;53,09230769
DF2;23;0,2441;42,71111111;53,09230769
DF2;23;0,2769;42,71111111;53,09230769
DF2;23;0,4059;42,71111111;53,09230769
DF2;23;0,4274;42,71111111;53,09230769
DF2;23;0,37;42,71111111;53,09230769
DF2;23;0,2611;42,71111111;53,09230769
DF2;23;0,3489;42,71111111;53,09230769
DF2;23;0,3507;42,71111111;53,09230769
DF2;23;0,2922;42,71111111;53,09230769
DF2;23;0,3648;42,71111111;53,09230769
DF2;23;0,2801;42,71111111;53,09230769
DF2;23;0,357;42,71111111;53,09230769
DF2;23;0,3281;42,71111111;53,09230769
DF2;23;0,2859;42,71111111;53,09230769
DF2;23;0,3429;42,71111111;53,09230769
DF2;23;0,3582;42,71111111;53,09230769
DF2;24;0,2569;44,82222222;54,22307692
DF2;24;0,2606;44,82222222;54,22307692
DF2;24;0,2538;44,82222222;54,22307692
DF2;24;0,2873;44,82222222;54,22307692
DF2;24;0,3168;44,82222222;54,22307692
DF2;24;0,2846;44,82222222;54,22307692
DF2;24;0,2485;44,82222222;54,22307692
DF2;24;0,2758;44,82222222;54,22307692
DF2;24;0,2211;44,82222222;54,22307692
DF2;24;0,2207;44,82222222;54,22307692
DF2;24;0,2294;44,82222222;54,22307692
DF2;24;0,2783;44,82222222;54,22307692
DF2;24;0,1865;44,82222222;54,22307692
DF2;24;0,2896;44,82222222;54,22307692
DF2;24;0,3041;44,82222222;54,22307692
DF2;24;0,2559;44,82222222;54,22307692
DF2;24;0,3139;44,82222222;54,22307692
DF2;24;0,2291;44,82222222;54,22307692
DF2;24;0,2488;44,82222222;54,22307692
DF2;24;0,211;44,82222222;54,22307692
DF2;25;-0,1067;46,93333333;55,35384615
DF2;25;0,1585;46,93333333;55,35384615
DF2;25;0,031;46,93333333;55,35384615
DF2;25;0,2149;46,93333333;55,35384615
DF2;25;0,2719;46,93333333;55,35384615
DF2;25;0,2539;46,93333333;55,35384615
DF2;25;0,2407;46,93333333;55,35384615
DF2;25;0,085;46,93333333;55,35384615
DF2;25;-0,1288;46,93333333;55,35384615
DF2;25;-0,1835;46,93333333;55,35384615
DF2;25;-0,0942;46,93333333;55,35384615
DF2;25;-0,19;46,93333333;55,35384615
DF2;25;-0,0361;46,93333333;55,35384615
DF2;25;0,2235;46,93333333;55,35384615
DF2;25;0,2042;46,93333333;55,35384615
DF2;25;0,2388;46,93333333;55,35384615
DF2;25;0,0753;46,93333333;55,35384615
DF2;25;0,2043;46,93333333;55,35384615
DF2;25;-0,0139;46,93333333;55,35384615
DF2;25;-0,2068;46,93333333;55,35384615
DF2;26;0,1191;49,04444444;56,48461538
DF2;26;0,2323;49,04444444;56,48461538
DF2;26;0,0663;49,04444444;56,48461538
DF2;26;0,1268;49,04444444;56,48461538
DF2;26;0,3063;49,04444444;56,48461538
DF2;26;0,2124;49,04444444;56,48461538
DF2;26;0,2407;49,04444444;56,48461538
DF2;26;0,209;49,04444444;56,48461538
DF2;26;0,1097;49,04444444;56,48461538
DF2;26;0,0939;49,04444444;56,48461538
DF2;26;0,0889;49,04444444;56,48461538
DF2;26;0,0345;49,04444444;56,48461538
DF2;26;0,0084;49,04444444;56,48461538
DF2;26;0,1454;49,04444444;56,48461538
DF2;26;0,1387;49,04444444;56,48461538
DF2;26;0,0925;49,04444444;56,48461538
DF2;26;0,2454;49,04444444;56,48461538
DF2;26;0,0496;49,04444444;56,48461538
DF2;26;0,0914;49,04444444;56,48461538
DF2;26;0,0811;49,04444444;56,48461538
FetMSC;7;0,2575;0,7;
FetMSC;7;0,2525;0,7;
FetMSC;7;0,1783;0,7;
FetMSC;7;0,2506;0,7;
FetMSC;7;0,2406;0,7;
FetMSC;7;0,1471;0,7;
FetMSC;7;0,1852;0,7;
FetMSC;7;0,2569;0,7;
FetMSC;7;0,3012;0,7;
FetMSC;7;0,2174;0,7;
FetMSC;7;0,2194;0,7;
FetMSC;7;0,327;0,7;
FetMSC;7;0,2702;0,7;
FetMSC;7;0,2412;0,7;
FetMSC;7;0,1871;0,7;
FetMSC;7;0,2397;0,7;
FetMSC;7;0,2751;0,7;
FetMSC;7;0,1869;0,7;
FetMSC;7;0,1876;0,7;
FetMSC;7;0,2096;0,7;
FetMSC;8;0,4597;3,7;
FetMSC;8;0,5748;3,7;
FetMSC;8;0,4728;3,7;
FetMSC;8;0,57;3,7;
FetMSC;8;0,6203;3,7;
FetMSC;8;0,2289;3,7;
FetMSC;8;0,2457;3,7;
FetMSC;8;0,2487;3,7;
FetMSC;8;0,2142;3,7;
FetMSC;8;0,5696;3,7;
FetMSC;8;0,2006;3,7;
FetMSC;8;0,1689;3,7;
FetMSC;8;0,5684;3,7;
FetMSC;8;0,5511;3,7;
FetMSC;8;0,5407;3,7;
FetMSC;8;0,4865;3,7;
FetMSC;8;0,5599;3,7;
FetMSC;8;0,1374;3,7;
FetMSC;8;0,1324;3,7;
FetMSC;8;0,2332;3,7;
FetMSC;9;0,231;6,7;
FetMSC;9;0,3024;6,7;
FetMSC;9;0,293;6,7;
FetMSC;9;0,3204;6,7;
FetMSC;9;0,3306;6,7;
FetMSC;9;0,2447;6,7;
FetMSC;9;0,2442;6,7;
FetMSC;9;0,2579;6,7;
FetMSC;9;0,3183;6,7;
FetMSC;9;0,3028;6,7;
FetMSC;9;0,4225;6,7;
FetMSC;9;0,4185;6,7;
FetMSC;9;0,3009;6,7;
FetMSC;9;0,2703;6,7;
FetMSC;9;0,2457;6,7;
FetMSC;9;0,2382;6,7;
FetMSC;9;0,1773;6,7;
FetMSC;9;0,1727;6,7;
FetMSC;9;0,1323;6,7;
FetMSC;9;0,403;6,7;
FetMSC;10;0,2862;9,7;
FetMSC;10;0,1807;9,7;
FetMSC;10;0,1636;9,7;
FetMSC;10;0,1944;9,7;
FetMSC;10;0,2587;9,7;
FetMSC;10;0,2676;9,7;
FetMSC;10;0,2445;9,7;
FetMSC;10;0,2886;9,7;
FetMSC;10;0,2122;9,7;
FetMSC;10;0,2909;9,7;
FetMSC;10;0,3;9,7;
FetMSC;10;0,2257;9,7;
FetMSC;10;0,2091;9,7;
FetMSC;10;0,2484;9,7;
FetMSC;10;0,1439;9,7;
FetMSC;10;0,2304;9,7;
FetMSC;10;0,2153;9,7;
FetMSC;10;0,1277;9,7;
FetMSC;10;0,2518;9,7;
FetMSC;10;0,1734;9,7;
FetMSC;11;0,3377;11,12;
FetMSC;11;0,1273;11,12;
FetMSC;11;0,3263;11,12;
FetMSC;11;0,4284;11,12;
FetMSC;11;0,3194;11,12;
FetMSC;11;0,3179;11,12;
FetMSC;11;0,3378;11,12;
FetMSC;11;0,276;11,12;
FetMSC;11;0,1018;11,12;
FetMSC;11;0,014;11,12;
FetMSC;11;0,0946;11,12;
FetMSC;11;0,0069;11,12;
FetMSC;11;0,2516;11,12;
FetMSC;11;0,161;11,12;
FetMSC;11;0,2943;11,12;
FetMSC;11;0,1754;11,12;
FetMSC;11;0,1189;11,12;
FetMSC;11;0,3936;11,12;
FetMSC;11;0,2799;11,12;
FetMSC;11;0,3339;11,12;
FetMSC;12;-0,079;12,54;
FetMSC;12;0,1922;12,54;
FetMSC;12;0,2921;12,54;
FetMSC;12;0,2711;12,54;
FetMSC;12;0,0461;12,54;
FetMSC;12;0,3181;12,54;
FetMSC;12;0,2302;12,54;
FetMSC;12;0,0278;12,54;
FetMSC;12;0,2324;12,54;
FetMSC;12;0,1297;12,54;
FetMSC;12;0,0512;12,54;
FetMSC;12;0,3541;12,54;
FetMSC;12;-0,0456;12,54;
FetMSC;12;-0,0236;12,54;
FetMSC;12;-0,0345;12,54;
FetMSC;12;0,29;12,54;
FetMSC;12;-0,094;12,54;
FetMSC;12;0,0049;12,54;
FetMSC;12;0,3399;12,54;
FetMSC;12;-0,04;12,54;
FetMSC;13;-0,2012;13,96;
FetMSC;13;-0,281;13,96;
FetMSC;13;-0,0479;13,96;
FetMSC;13;-0,091;13,96;
FetMSC;13;-0,108;13,96;
FetMSC;13;-0,0414;13,96;
FetMSC;13;0,3045;13,96;
FetMSC;13;-0,2324;13,96;
FetMSC;13;-0,1379;13,96;
FetMSC;13;0,1961;13,96;
FetMSC;13;0,1596;13,96;
FetMSC;13;-0,16;13,96;
FetMSC;13;-0,0128;13,96;
FetMSC;13;-0,0543;13,96;
FetMSC;13;0,0129;13,96;
FetMSC;13;-0,1365;13,96;
FetMSC;13;-0,2672;13,96;
FetMSC;13;-0,1647;13,96;
FetMSC;13;-0,0368;13,96;
FetMSC;13;0,0079;13,96;
FetMSC;14;0,0292;15,38;
FetMSC;14;-0,3143;15,38;
FetMSC;14;0,0779;15,38;
FetMSC;14;-0,2557;15,38;
FetMSC;14;-0,1579;15,38;
FetMSC;14;-0,1222;15,38;
FetMSC;14;-0,2071;15,38;
FetMSC;14;-0,2467;15,38;
FetMSC;14;-0,1831;15,38;
FetMSC;14;-0,2024;15,38;
FetMSC;14;0,0039;15,38;
FetMSC;14;0,0361;15,38;
FetMSC;14;-0,0786;15,38;
FetMSC;14;-0,1454;15,38;
FetMSC;14;-0,079;15,38;
FetMSC;14;0,0397;15,38;
FetMSC;14;-0,1213;15,38;
FetMSC;14;-0,0828;15,38;
FetMSC;14;-0,1652;15,38;
FetMSC;14;-0,3601;15,38;
FetMSC;16;-0,188895;16,8;
FetMSC;22;-0,25104;32,2;
FetMSC;24;-0,313185;36,5;
MCSWJ-1;6;0,116331154;0;26,8
MCSWJ-1;9;0,3748;5,3;30,35
MCSWJ-1;9;0,3646;5,3;30,35
MCSWJ-1;9;0,2096;5,3;30,35
MCSWJ-1;9;0,3033;5,3;30,35
MCSWJ-1;9;0,3485;5,3;30,35
MCSWJ-1;9;0,1724;5,3;30,35
MCSWJ-1;9;0,1016;5,3;30,35
MCSWJ-1;9;0,1931;5,3;30,35
MCSWJ-1;9;0,0733;5,3;30,35
MCSWJ-1;9;0,1663;5,3;30,35
MCSWJ-1;9;0,0929;5,3;30,35
MCSWJ-1;9;0,3636;5,3;30,35
MCSWJ-1;9;0,3992;5,3;30,35
MCSWJ-1;9;0,0931;5,3;30,35
MCSWJ-1;9;0,1687;5,3;30,35
MCSWJ-1;9;0,2162;5,3;30,35
MCSWJ-1;9;0,3169;5,3;30,35
MCSWJ-1;9;0,2994;5,3;30,35
MCSWJ-1;9;0,3416;5,3;30,35
MCSWJ-1;9;0,3407;5,3;30,35
MCSWJ-1;13;0,377648846;15;33,9
MCSWJ-1;15;0,417;18,98;35,5
MCSWJ-1;15;0,4995;18,98;35,5
MCSWJ-1;15;0,6682;18,98;35,5
MCSWJ-1;15;0,569;18,98;35,5
MCSWJ-1;15;0,3875;18,98;35,5
MCSWJ-1;15;0,3456;18,98;35,5
MCSWJ-1;15;0,496;18,98;35,5
MCSWJ-1;15;0,5382;18,98;35,5
MCSWJ-1;15;0,5764;18,98;35,5
MCSWJ-1;15;0,5518;18,98;35,5
MCSWJ-1;15;0,4974;18,98;35,5
MCSWJ-1;15;0,4547;18,98;35,5
MCSWJ-1;15;0,391;18,98;35,5
MCSWJ-1;15;0,5621;18,98;35,5
MCSWJ-1;15;0,5375;18,98;35,5
MCSWJ-1;15;0,4916;18,98;35,5
MCSWJ-1;15;0,4264;18,98;35,5
MCSWJ-1;15;0,5418;18,98;35,5
MCSWJ-1;15;0,5023;18,98;35,5
MCSWJ-1;15;0,5679;18,98;35,5
MCSWJ-1;15;0,5074;18,98;35,5
MCSWJ-1;15;0,46;18,98;35,5
MCSWJ-1;15;0,4806;18,98;35,5
MCSWJ-1;15;0,5227;18,98;35,5
MCSWJ-1;15;0,5743;18,98;35,5
MCSWJ-1;15;0,6491;18,98;35,5
MCSWJ-1;20;0,418273549;39;37,1
MCSWJ-1;25;0,328239406;36;38,7
MCSWJ-1;28;-0,0801;40,17;40,3
MCSWJ-1;28;-0,0156;40,17;40,3
MCSWJ-1;28;0,232;40,17;40,3
MCSWJ-1;28;0,2118;40,17;40,3
MCSWJ-1;28;0,0375;40,17;40,3
MCSWJ-1;28;0,0864;40,17;40,3
MCSWJ-1;28;0,072;40,17;40,3
MCSWJ-1;28;0,2475;40,17;40,3
MCSWJ-1;28;0,3321;40,17;40,3
MCSWJ-1;28;0,2472;40,17;40,3
MCSWJ-1;28;0,3129;40,17;40,3
MCSWJ-1;28;0,3883;40,17;40,3
MCSWJ-1;28;0,5058;40,17;40,3
MCSWJ-1;28;0,3688;40,17;40,3
MCSWJ-1;28;0,3168;40,17;40,3
MCSWJ-1;28;0,3601;40,17;40,3
MCSWJ-1;28;0,2807;40,17;40,3
MCSWJ-1;28;0,3278;40,17;40,3
MCSWJ-1;28;0,2939;40,17;40,3
MCSWJ-1;36;-0,0179;52,02;41,9
MCSWJ-1;36;0,0374;52,02;41,9
MCSWJ-1;36;-0,0689;52,02;41,9
MCSWJ-1;36;-0,0533;52,02;41,9
MCSWJ-1;36;-0,1122;52,02;41,9
MCSWJ-1;36;0,0416;52,02;41,9
MCSWJ-1;36;-0,1052;52,02;41,9
MCSWJ-1;36;0,1078;52,02;41,9
MCSWJ-1;36;0,1286;52,02;41,9
