Cell;Passage;bTau;bGal;DoublingTime
FetMSC;12;-0,0236;;
FetMSC;12;-0,0345;;
FetMSC;12;0,29;;
FetMSC;12;-0,094;;
FetMSC;12;0,0049;;
FetMSC;12;0,3399;;
FetMSC;12;-0,04;;
FetMSC;11;0,3377;;
FetMSC;11;0,1273;;
FetMSC;11;0,3263;;
FetMSC;11;0,4284;;
FetMSC;11;0,3194;;
FetMSC;11;0,3179;;
FetMSC;11;0,3378;;
FetMSC;11;0,276;;
FetMSC;11;0,1018;;
FetMSC;11;0,014;;
FetMSC;11;0,0946;;
FetMSC;11;0,0069;;
FetMSC;11;0,2516;;
FetMSC;11;0,161;;
FetMSC;11;0,2943;;
FetMSC;11;0,1754;;
FetMSC;11;0,1189;;
FetMSC;11;0,3936;;
FetMSC;11;0,2799;;
FetMSC;11;0,3339;;
FetMSC;10;0,2862;;
FetMSC;10;0,1807;;
FetMSC;10;0,1636;;
FetMSC;10;0,1944;;
FetMSC;10;0,2587;;
FetMSC;10;0,2676;;
FetMSC;10;0,2445;;
FetMSC;10;0,2886;;
FetMSC;10;0,2122;;
FetMSC;10;0,2909;;
FetMSC;10;0,3;;
FetMSC;10;0,2257;;
FetMSC;10;0,2091;;
FetMSC;10;0,2484;;
FetMSC;10;0,1439;;
FetMSC;10;0,2304;;
FetMSC;10;0,2153;;
FetMSC;10;0,1277;;
FetMSC;10;0,2518;;
FetMSC;10;0,1734;;
FetMSC;9;0,231;;
FetMSC;9;0,3024;;
FetMSC;9;0,293;;
FetMSC;9;0,3204;;
FetMSC;9;0,3306;;
FetMSC;9;0,2447;;
FetMSC;9;0,2442;;
FetMSC;9;0,2579;;
FetMSC;9;0,3183;;
FetMSC;9;0,3028;;
FetMSC;9;0,4225;;
FetMSC;9;0,4185;;
FetMSC;9;0,3009;;
FetMSC;9;0,2703;;
FetMSC;9;0,2457;;
FetMSC;9;0,2382;;
FetMSC;9;0,1773;;
FetMSC;9;0,1727;;
FetMSC;9;0,1323;;
FetMSC;9;0,403;;
MCSWJ-1;;;;
MCSWJ-1;;;;
MCSWJ-1;;;;
MCSWJ-1;;;;
MCSWJ-1;;;;
MCSWJ-1;;;;
MCSWJ-1;;;;
MCSWJ-1;;;;
MCSWJ-1;;;;
MCSWJ-1;;;;
MCSWJ-1;;;;
MCSWJ-1;;;;
MCSWJ-1;;;;
MCSWJ-1;;;;
MCSWJ-1;;;;
MCSWJ-1;;;;
MCSWJ-1;;;;
MCSWJ-1;;;;
MCSWJ-1;;;;
MCSWJ-1;;;;
MCSWJ-1;;;;
MCSWJ-1;;;;
MCSWJ-1;;;;
MCSWJ-1;;;;
MCSWJ-1;;;;
MCSWJ-1;;;;
MCSWJ-1;;;;
MCSWJ-1;;;;
MCSWJ-1;;;;
MCSWJ-1;;;;
MCSWJ-1;;;;
MCSWJ-1;;;;
MCSWJ-1;;;;
MCSWJ-1;;;;
MCSWJ-1;;;;
MCSWJ-1;;;;
MCSWJ-1;;;;
MCSWJ-1;;;;
MCSWJ-1;;;;
MCSWJ-1;;;;
MCSWJ-1;;;;
MCSWJ-1;;;;
MCSWJ-1;;;;
MCSWJ-1;;;;
MCSWJ-1;;;;
MCSWJ-1;;;;
MCSWJ-1;;;;
MCSWJ-1;;;;
MCSWJ-1;;;;
MCSWJ-1;;;;
MCSWJ-1;;;;
MCSWJ-1;;;;
MCSWJ-1;;;;
MCSWJ-1;;;;
MCSWJ-1;;;;
MCSWJ-1;;;;
MCSWJ-1;;;;
MCSWJ-1;;;;
MCSWJ-1;;;;
MCSWJ-1;;;;
MCSWJ-1;;;;
MCSWJ-1;;;;
MCSWJ-1;;;;
MCSWJ-1;;;;
MCSWJ-1;;;;
MCSWJ-1;;;;
MCSWJ-1;;;;
MCSWJ-1;;;;
MCSWJ-1;;;;
MCSWJ-1;;;;
MCSWJ-1;;;;
MCSWJ-1;;;;
MCSWJ-1;;;;
MCSWJ-1;;;;
MCSWJ-1;;;;
MCSWJ-1;;;;
MCSWJ-1;;;;
MCSWJ-1;;;;
MCSWJ-1;;;;
MCSWJ-1;;;;
MCSWJ-1;;;;
MCSWJ-1;;;;
MCSWJ-1;;;;
MCSWJ-1;;;;
MCSWJ-1;;;;
MCSWJ-1;;;;
MCSWJ-1;;;;
MCSWJ-1;;;;
MCSWJ-1;;;;
ADH-MSC;;;;
ADH-MSC;;;;
ADH-MSC;;;;
ADH-MSC;;;;
ADH-MSC;;;;
ADH-MSC;;;;
ADH-MSC;;;;
ADH-MSC;;;;
ADH-MSC;;;;
ADH-MSC;;;;
ADH-MSC;;;;
ADH-MSC;;;;
ADH-MSC;;;;
ADH-MSC;;;;
ADH-MSC;;;;
ADH-MSC;;;;
ADH-MSC;;;;
ADH-MSC;;;;
ADH-MSC;;;;
ADH-MSC;;;;
ADH-MSC;;;;
ADH-MSC;;;;
ADH-MSC;;;;
ADH-MSC;;;;
ADH-MSC;;;;
ADH-MSC;;;;
ADH-MSC;;;;
ADH-MSC;;;;
ADH-MSC;;;;
ADH-MSC;;;;
ADH-MSC;;;;
ADH-MSC;;;;
ADH-MSC;;;;
ADH-MSC;;;;
ADH-MSC;;;;
ADH-MSC;;;;
ADH-MSC;;;;
ADH-MSC;;;;
ADH-MSC;;;;
ADH-MSC;;;;
ADH-MSC;;;;
ADH-MSC;;;;
ADH-MSC;;;;
ADH-MSC;;;;
ADH-MSC;;;;
ADH-MSC;;;;
ADH-MSC;;;;
ADH-MSC;;;;
ADH-MSC;;;;
ADH-MSC;;;;
ADH-MSC;;;;
ADH-MSC;;;;
ADH-MSC;;;;
ADH-MSC;;;;
ADH-MSC;;;;
